asset_id,folder,filename,type,status,target_size,description
MM-00001,Art/Characters/Workers/Miners,worker_miner_lv01_idle_01.png,PNG,planned,512x512,character animation frame
MM-00002,Art/Characters/Workers/Miners,worker_miner_lv01_idle_02.png,PNG,planned,512x512,character animation frame
MM-00003,Art/Characters/Workers/Miners,worker_miner_lv01_idle_03.png,PNG,planned,512x512,character animation frame
MM-00004,Art/Characters/Workers/Miners,worker_miner_lv01_idle_04.png,PNG,planned,512x512,character animation frame
MM-00005,Art/Characters/Workers/Miners,worker_miner_lv01_idle_05.png,PNG,planned,512x512,character animation frame
MM-00006,Art/Characters/Workers/Miners,worker_miner_lv01_idle_06.png,PNG,planned,512x512,character animation frame
MM-00007,Art/Characters/Workers/Miners,worker_miner_lv01_idle_07.png,PNG,planned,512x512,character animation frame
MM-00008,Art/Characters/Workers/Miners,worker_miner_lv01_idle_08.png,PNG,planned,512x512,character animation frame
MM-00009,Art/Characters/Workers/Miners,worker_miner_lv01_idle_09.png,PNG,planned,512x512,character animation frame
MM-00010,Art/Characters/Workers/Miners,worker_miner_lv01_idle_10.png,PNG,planned,512x512,character animation frame
MM-00011,Art/Characters/Workers/Miners,worker_miner_lv01_idle_11.png,PNG,planned,512x512,character animation frame
MM-00012,Art/Characters/Workers/Miners,worker_miner_lv01_idle_12.png,PNG,planned,512x512,character animation frame
MM-00013,Art/Characters/Workers/Miners,worker_miner_lv01_walk_01.png,PNG,planned,512x512,character animation frame
MM-00014,Art/Characters/Workers/Miners,worker_miner_lv01_walk_02.png,PNG,planned,512x512,character animation frame
MM-00015,Art/Characters/Workers/Miners,worker_miner_lv01_walk_03.png,PNG,planned,512x512,character animation frame
MM-00016,Art/Characters/Workers/Miners,worker_miner_lv01_walk_04.png,PNG,planned,512x512,character animation frame
MM-00017,Art/Characters/Workers/Miners,worker_miner_lv01_walk_05.png,PNG,planned,512x512,character animation frame
MM-00018,Art/Characters/Workers/Miners,worker_miner_lv01_walk_06.png,PNG,planned,512x512,character animation frame
MM-00019,Art/Characters/Workers/Miners,worker_miner_lv01_walk_07.png,PNG,planned,512x512,character animation frame
MM-00020,Art/Characters/Workers/Miners,worker_miner_lv01_walk_08.png,PNG,planned,512x512,character animation frame
MM-00021,Art/Characters/Workers/Miners,worker_miner_lv01_walk_09.png,PNG,planned,512x512,character animation frame
